sample_id,phase,worker,train_index,active_edge_ratio_by_turn,active_node_ratio_by_turn,candidate_provenance_coverage,recovery_subgraph_size,final_answer_source_type
mbpp:454,phase2,1,34,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,7.0,recovery_output
mbpp:454,phase3a,1,34,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,6.0,recovery_output
mbpp:455,phase2,0,21,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:455,phase3a,0,21,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,checker_approved_proposal
mbpp:46,phase2,1,36,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:46,phase3a,1,36,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.75, 0.75, 0.75, 0.75, 0.75]",1.0,0.0,sink_output
mbpp:461,phase2,0,23,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",1.0,4.0,stage1_anchor
mbpp:461,phase3a,0,23,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,4.0,sink_output
mbpp:466,phase2,2,7,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,5.0,recovery_output
mbpp:466,phase3a,2,7,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,6.0,stage1_anchor
mbpp:468,phase2,0,27,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:468,phase3a,0,27,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:469,phase2,1,4,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9166666666666666,0.0,stage1
mbpp:469,phase3a,1,4,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:471,phase2,2,42,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8888888888888888,7.0,stage1_anchor
mbpp:471,phase3a,2,42,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:474,phase2,1,53,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:474,phase3a,1,53,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:477,phase2,1,33,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:477,phase3a,1,33,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
